Site,Tmin,Topt,Tmax,Tlow,PAR0,lambda,alpha,beta,std-PAR0,std-lambda,std-alpha,std-beta
HARVARD,0,20,40,5.0,570,0.127,0.271,0.25,14,0.002,0.006,0.06
HOWLAND,0,20,40,2.0,629,0.123,0.244,-0.24,17,0.002,0.004,0.036
NOBS,0,20,40,1.0,262,0.234,0.244,0.14,5,0.004,0.002,0.015
NIWOT,0,20,40,1.0,446,0.128,0.25,0.17,13,0.003,0.003,0.018
METOLIUS,0,20,40,2.0,1206,0.097,0.295,-0.43,39,0.002,0.003,0.028
SOY_MEADS2,5,22,40,2.0,2051,0.064,0.209,0.2,137,0.002,0.005,0.058
CORN_MEAD,5,22,40,2.0,11250,0.075,0.173,0.82,1746,0.002,0.006,0.081
TONZI,2,20,40,0,3241,0.057,0.012,0.58,293,0.002,0.002,0.036
VAIRA,2,18,40,0,542,0.213,0.028,0.72,23,0.006,0.002,0.035
DONALDSON,0,20,40,1.0,790,0.114,0.153,1.56,18,0.002,0.004,0.076
LUCKY-HILLS,2,20,40,0,321,0.122,0.028,0.48,14,0.004,0.001,0.019
PEATLAND,0,20,40,3.0,558,0.051,0.081,0.24,23,0.002,0.002,0.019
