# Emission temporal profile for hour in day;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;
# HISTORY;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;
# 2018-10-12, Antoon Visschedijk, Temporal profiles converted from SNAP-based to GNFR-based, new temporal profiles for K_AgriLivestock and L_AgriOther based on Skjøth, C. A., Geels, C., Berge, H., Gyldenkærne, S., Fagerli, H., Ellermann, T., ... & Hertel, O. (2011). Spatial and temporal variations in ammonia emissions–a freely accessible model code for Europe. Atmospheric Chemistry and Physics, 11(11), 5221-5236.;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;
;TNO GNFR sectors Sept 2018;GNFR_Category_Name;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1;A;A_PublicPower;0.79;0.72;0.72;0.71;0.74;0.8;0.92;1.08;1.19;1.22;1.21;1.21;1.17;1.15;1.14;1.13;1.1;1.07;1.04;1.02;1.02;1.01;0.96;0.88
2;B;B_Industry;0.75;0.75;0.78;0.82;0.88;0.95;1.02;1.09;1.16;1.22;1.28;1.3;1.22;1.24;1.25;1.16;1.08;1.01;0.95;0.9;0.85;0.81;0.78;0.75
3;C;C_OtherStationaryComb;0.38;0.36;0.36;0.36;0.37;0.5;1.19;1.53;1.57;1.56;1.35;1.16;1.07;1.06;1;0.98;0.99;1.12;1.41;1.52;1.39;1.35;1;0.42
4;D;D_Fugitives;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;E;E_Solvents;0.5;0.35;0.2;0.1;0.1;0.2;0.75;1.25;1.4;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.4;1.25;1.1;1;0.9;0.8;0.7
6;F1;F_RoadTransport_exhaust_gasoline;0.19;0.09;0.06;0.05;0.09;0.22;0.86;1.84;1.86;1.41;1.24;1.2;1.32;1.44;1.45;1.59;2.03;2.08;1.51;1.06;0.74;0.62;0.61;0.44
6;F2;F_RoadTransport_exhaust_diesel;0.19;0.09;0.06;0.05;0.09;0.22;0.86;1.84;1.86;1.41;1.24;1.2;1.32;1.44;1.45;1.59;2.03;2.08;1.51;1.06;0.74;0.62;0.61;0.44
6;F3;F_RoadTransport_exhaust_LPG_gas;0.19;0.09;0.06;0.05;0.09;0.22;0.86;1.84;1.86;1.41;1.24;1.2;1.32;1.44;1.45;1.59;2.03;2.08;1.51;1.06;0.74;0.62;0.61;0.44
6;F4;F_RoadTransport_non-exhaust;0.19;0.09;0.06;0.05;0.09;0.22;0.86;1.84;1.86;1.41;1.24;1.2;1.32;1.44;1.45;1.59;2.03;2.08;1.51;1.06;0.74;0.62;0.61;0.44
7;G;G_Shipping;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
8;H;H_Aviation;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;I;I_OffRoad;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10;J;J_Waste;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
11;K;K_AgriLivestock;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
12;L;L_AgriOther;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
