# Emission temporal profiles for month in year;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;
# HISTORY;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;
# 2018-10-12, Antoon Visschedijk, Temporal profiles converted from SNAP-based to GNFR-based, new temporal profiles for K_AgriLivestock and L_AgriOther based on Skjøth, C. A., Geels, C., Berge, H., Gyldenkærne, S., Fagerli, H., Ellermann, T., ... & Hertel, O. (2011). Spatial and temporal variations in ammonia emissions–a freely accessible model code for Europe. Atmospheric Chemistry and Physics, 11(11), 5221-5236.;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;
;TNO GNFR sectors Sept 2018;GNFR_Category_Name; jan ; feb  ; mar ; apr ; may ; jun ; jul ; aug  ; sep ; oct ; nov  ; dec
1;A;A_PublicPower;1.2;1.15;1.05;1;0.9;0.85;0.8;0.875;0.95;1;1.075;1.15
2;B;B_Industry;1.1;1.075;1.05;1;0.95;0.9;0.93;0.95;0.97;1;1.025;1.05
3;C;C_OtherStationaryComb;1.7;1.5;1.3;1;0.7;0.4;0.2;0.4;0.7;1.05;1.4;1.65
4;D;D_Fugitives;1.2;1.2;1.2;0.8;0.8;0.8;0.8;0.8;0.8;1.2;1.2;1.2
5;E;E_Solvents;0.95;0.96;1.02;1;1.01;1.03;1.03;1.01;1.04;1.03;1.01;0.91
6;F1;F_RoadTransport_exhaust_gasoline;0.88;0.92;0.98;1.03;1.05;1.06;1.01;1.02;1.06;1.05;1.01;0.93
6;F2;F_RoadTransport_exhaust_diesel;0.88;0.92;0.98;1.03;1.05;1.06;1.01;1.02;1.06;1.05;1.01;0.93
6;F3;F_RoadTransport_exhaust_LPG_gas;0.88;0.92;0.98;1.03;1.05;1.06;1.01;1.02;1.06;1.05;1.01;0.93
6;F4;F_RoadTransport_non-exhaust;0.88;0.92;0.98;1.03;1.05;1.06;1.01;1.02;1.06;1.05;1.01;0.93
7;G;G_Shipping;1;1;1;1;1;1;1;1;1;1;1;1
8;H;H_Aviation;1;1;1;1;1;1;1;1;1;1;1;1
9;I;I_OffRoad;1;1;1;1;1;1;1;1;1;1;1;1
10;J;J_Waste;1;1;1;1;1;1;1;1;1;1;1;1
11;K;K_AgriLivestock;0.7;0.75;0.85;0.9;1;1.1;1.2;1.25;1.3;1.1;1;0.85
12;L;L_AgriOther;0;2;4.75;2.9;0.5;0.4;0.2;0.5;0.75;0;0;0
